,Nombre,Tipo,Provincia,Poblacion,Distancia,Dirección,Nubosidad,lon,lat
73,Esplegares,Municipio,provincia de Guadalajara,38.0,73.86,257.62,31.3,-2.3692,40.8581
74,Sotodosos,Municipio,provincia de Guadalajara,33.0,74.57,263.37,-,-2.3928,40.9227
75,Hortezuela de Océn,Municipio,provincia de Guadalajara,42.0,76.2,266.01,-,-2.4162,40.9522
76,"Pozuelo, El",Municipio,Provincia de Cuenca,49.0,77.2,236.72,29.38,-2.2769,40.6203
77,Luzaga,Municipio,provincia de Guadalajara,69.0,78.39,267.95,-,-2.4442,40.9744
78,Sacecorbo,Municipio,provincia de Guadalajara,91.0,78.45,256.26,31.3,-2.4171,40.8326
79,Cañizares,Municipio,Provincia de Cuenca,439.0,78.57,226.87,28.0,-2.1913,40.5186
80,Poyatos,Municipio,Provincia de Cuenca,56.0,78.78,215.16,-,-2.0493,40.4228
81,Ocentejo,Municipio,provincia de Guadalajara,21.0,78.84,251.2,-,-2.3978,40.7719
82,Medinaceli,Municipio,provincia de Soria,713.0,79.7,283.96,-,-2.4353,41.1722
83,Alcolea del Pinar,Municipio,provincia de Guadalajara,320.0,80.18,272.99,-,-2.4656,41.0369
84,Fuertescusa,Municipio,Provincia de Cuenca,63.0,81.04,223.77,28.0,-2.1758,40.4754
85,Valtablado del Río,Municipio,provincia de Guadalajara,7.0,81.38,247.1,30.76,-2.4011,40.7156
86,"Recuenco, El",Municipio,provincia de Guadalajara,58.0,81.78,238.51,-,-2.3383,40.6167
87,Abánades,Municipio,provincia de Guadalajara,48.0,82.62,261.83,-,-2.4839,40.8939
88,Arbeteta,Municipio,provincia de Guadalajara,22.0,83.54,243.95,-,-2.4017,40.6706
89,Estriégana,Municipio,provincia de Guadalajara,14.0,85.09,274.53,-,-2.5225,41.0592
90,Canredondo,Municipio,provincia de Guadalajara,67.0,85.24,255.87,-,-2.4933,40.8125
91,Saúca,Municipio,provincia de Guadalajara,52.0,85.41,272.52,-,-2.5281,41.0325
92,Alcantud,Municipio,Provincia de Cuenca,51.0,85.64,234.04,29.38,-2.3328,40.5486
93,Fresneda de la Sierra,Municipio,Provincia de Cuenca,48.0,86.23,218.11,-,-2.1416,40.3915
94,Vindel,Municipio,Provincia de Cuenca,11.0,86.57,237.89,29.38,-2.3804,40.5868
95,Cañamares,Municipio,Provincia de Cuenca,466.0,86.84,225.12,28.0,-2.2401,40.4502
96,Miño de Medinaceli,Municipio,provincia de Soria,100.0,86.91,284.16,-,-2.5181,41.1897
97,Torrecuadradilla,Municipio,provincia de Guadalajara,24.0,87.38,259.33,31.3,-2.5319,40.8536
98,Castillejo-Sierra,Municipio,Provincia de Cuenca,28.0,87.61,217.34,-,-2.1406,40.3752
99,Arcos de la Sierra,Municipio,Provincia de Cuenca,83.0,88.8,214.91,28.6,-2.1131,40.3468
100,"Majadas, Las",Municipio,Provincia de Cuenca,241.0,89.41,208.86,-,-2.0224,40.2976
101,"Frontera, La",Municipio,Provincia de Cuenca,155.0,89.61,221.97,-,-2.2208,40.4022
102,Peralveche,Municipio,provincia de Guadalajara,45.0,90.15,241.37,-,-2.4492,40.6117
103,Priego,Municipio,Provincia de Cuenca,896.0,91.44,227.82,-,-2.3135,40.4488
104,Arandilla del Arroyo,Municipio,Provincia de Cuenca,7.0,91.65,233.55,-,-2.3844,40.5109
105,Castilforte,Municipio,provincia de Guadalajara,55.0,91.85,237.68,29.38,-2.4308,40.5586
106,Portilla,Municipio,Provincia de Cuenca,59.0,92.84,211.34,28.6,-2.0828,40.2886
107,Torremocha del Campo,Municipio,provincia de Guadalajara,166.0,92.95,268.71,32.56,-2.6175,40.9792
108,Sigüenza,Municipio,provincia de Guadalajara,4309.0,94.95,274.81,-,-2.6392,41.0692
109,Uña,Municipio,Provincia de Cuenca,82.0,95.04,204.5,-,-1.9779,40.2241
110,Uña,Municipio,Provincia de Cuenca,82.0,95.14,204.56,-,-1.9794,40.2236
111,"Sotillo, El",Municipio,provincia de Guadalajara,42.0,95.22,262.2,-,-2.6328,40.8819
112,Albendea,Municipio,Provincia de Cuenca,121.0,95.4,233.32,-,-2.4171,40.4879
113,Villaconejos de Trabaque,Municipio,Provincia de Cuenca,344.0,95.48,225.59,28.0,-2.3183,40.4
114,Albalate de las Nogueras,Municipio,Provincia de Cuenca,253.0,95.75,222.6,-,-2.2781,40.3672
115,Valdeolivas,Municipio,Provincia de Cuenca,202.0,96.34,235.1,29.38,-2.4467,40.5044
116,Cifuentes,Municipio,provincia de Guadalajara,1645.0,96.43,255.84,-,-2.6214,40.7864
117,Trillo,Municipio,provincia de Guadalajara,1319.0,96.83,250.12,-,-2.5914,40.7028
118,Algora,Municipio,provincia de Guadalajara,70.0,97.04,267.8,-,-2.6653,40.9642
119,Salmerón,Municipio,provincia de Guadalajara,157.0,97.08,238.65,-,-2.4931,40.5456
120,Sienes,Municipio,provincia de Guadalajara,50.0,98.16,283.37,-,-2.6522,41.2014
121,Villalba de la Sierra,Municipio,Provincia de Cuenca,456.0,98.22,209.85,-,-2.0895,40.2354
122,Zarzuela,Municipio,Provincia de Cuenca,170.0,98.46,212.47,28.6,-2.1364,40.2544
123,"Inviernas, Las",Municipio,provincia de Guadalajara,59.0,98.51,261.82,-,-2.6702,40.8718
124,San Pedro Palmiches,Municipio,Provincia de Cuenca,57.0,98.73,230.01,-,-2.4062,40.4298
125,Valdelcubo,Municipio,provincia de Guadalajara,45.0,100.62,284.74,-,-2.6742,41.2272
126,Salmeroncillos,Municipio,Provincia de Cuenca,102.0,101.26,236.89,29.38,-2.5152,40.5022
127,Baraona,Municipio,provincia de Soria,135.0,101.35,289.1,-,-2.6572,41.2953
128,Alpanseque,Municipio,provincia de Soria,62.0,101.44,287.11,-,-2.6708,41.2653
129,Masegoso de Tajuña,Municipio,provincia de Guadalajara,52.0,101.58,259.11,31.3,-2.6961,40.8251
130,Torralba,Municipio,Provincia de Cuenca,112.0,101.66,220.17,-,-2.2864,40.3022
131,Escamilla,Municipio,provincia de Guadalajara,63.0,101.75,240.65,-,-2.5614,40.5508
