,Nombre,Tipo,Provincia,Poblacion,Distancia,Dirección,Nubosidad,lon,lat
540,San Clemente,Municipio,Provincia de Cuenca,6988.0,193.96,203.92,26.5,-2.4294,39.4039
541,Navafría,Municipio,provincia de Segovia,281.0,194.27,272.45,-,-3.8225,41.0547
542,San Pedro de Gaíllos,Municipio,provincia de Segovia,285.0,194.41,278.12,-,-3.8092,41.2269
543,Jardín de Serrano,Centro Comercial,,,194.58,251.38,-,-3.6873,40.4252
544,Fuentespina,Municipio,provincia de Burgos,757.0,194.79,291.79,34.24,-3.6853,41.6319
545,Horchatería La Fábrica de Siempre SL,Fábricas,,,194.92,252.61,-,-3.7074,40.4597
546,Galería Comercial,Centro Comercial,,,194.98,252.28,-,-3.7037,40.4498
547,Villanueva de Alcardete,Municipio,provincia de Toledo,3250.0,195.04,221.16,-,-3.0128,39.6733
548,Galería Comercial-Pasaje Mutualidad,Centro Comercial,,,195.67,251.5,-,-3.701,40.4252
549,Villatobas,Municipio,provincia de Toledo,2403.0,196.21,231.89,-,-3.3214,39.9011
550,Fuentenebro,Municipio,provincia de Burgos,119.0,196.47,287.96,-,-3.7536,41.5253
551,Aldeanueva de la Serrezuela,Municipio,provincia de Segovia,44.0,196.78,285.75,-,-3.7811,41.4603
552,Castroserracín,Municipio,provincia de Segovia,42.0,196.84,283.52,-,-3.8025,41.3936
553,Corral de Almaguer,Municipio,provincia de Toledo,5352.0,196.9,225.91,28.0,-3.1667,39.76
554,Campillo de Aranda,Municipio,provincia de Burgos,182.0,197.5,290.75,34.24,-3.7303,41.61
555,Arahuetes,Municipio,provincia de Segovia,30.0,197.51,275.12,-,-3.8567,41.1378
556,Schreiber Food España,Fábricas,,,197.87,235.18,29.38,-3.4174,39.9728
557,Nireo Corporacion,Fábricas,,,197.89,235.23,29.38,-3.4187,39.9738
558,Acciona Infraestructuras,Fábricas,,,197.96,235.03,29.38,-3.4145,39.9683
559,Aldehorno,Municipio,provincia de Segovia,53.0,198.05,287.41,-,-3.7781,41.5128
560,Rebollo,Municipio,provincia de Segovia,81.0,198.07,276.89,-,-3.8578,41.1928
561,Torregalindo,Municipio,provincia de Burgos,125.0,198.32,289.72,-,-3.7533,41.5822
562,Torre Val de San Pedro,Municipio,provincia de Segovia,184.0,198.4,273.05,-,-3.8711,41.0739
563,"Pedernoso, El",Municipio,Provincia de Cuenca,1124.0,198.58,212.13,28.6,-2.7444,39.4839
564,Noblejas,Municipio,provincia de Toledo,3585.0,199.05,235.62,29.38,-3.4389,39.9775
565,Valle de Tabladillo,Municipio,provincia de Segovia,86.0,199.23,282.38,32.44,-3.8397,41.3631
566,Centro Comercial Madrid-París,Centro Comercial,,,199.51,267.6,-,-3.8794,40.904
567,Santiuste de Pedraza,Municipio,provincia de Segovia,92.0,199.74,273.57,-,-3.8864,41.0906
